name,address,ssn,dob,title,started,ended,last_review
Alida,28093 Blaine Lane,306-65-0963,1980-01-20,Health Coach II,2022-05-27,2023-07-07,2024-11-20
Caralie,6 Gulseth Plaza,465-07-4896,1979-03-29,Geological Engineer,2020-12-08,2023-09-28,
Esra,809 Fair Oaks Street,811-32-9500,1998-07-06,Quality Engineer,2022-03-20,2023-03-13,
Florencia,683 Chinook Lane,633-26-2462,1975-07-15,Software Test Engineer IV,2023-10-11,2024-03-20,
Francklyn,61 Commercial Lane,250-26-6748,1976-05-30,Developer II,2023-12-15,2023-05-24,
Guinna,84 Transport Park,464-18-6313,1986-04-11,Engineer III,2023-09-26,2020-05-01,
Herold,59211 Hanson Place,468-01-9921,1999-06-27,Nuclear Power Engineer,2020-04-09,2020-08-16,
Holt,43795 Union Junction,253-58-7973,1990-08-28,Quality Control Specialist,2022-02-08,2024-07-21,
Katheryn,8359 Judy Crossing,362-54-9987,1974-03-02,Staff Scientist,2022-05-08,2023-04-04,
Lucie,29 Rowland Way,109-79-5531,1986-01-26,Product Engineer,2021-03-09,2021-04-16,
Quillan,96904 Anthes Crossing,470-64-2228,1980-05-13,Help Desk Technician,2021-06-12,2024-01-12,
Shaylynn,150 Mendota Way,309-42-2691,1996-11-25,Executive Secretary,2020-04-13,2020-02-04,
Sinclare,30114 Anhalt Hill,519-30-7526,1974-08-13,Graphic Designer,2021-10-14,2020-01-29,
Tessy,63972 Vidon Parkway,718-04-9139,1985-10-27,Physical Therapy Assistant,2021-09-07,2020-02-22,
Wilbert,1 Hovde Point,764-51-5870,1992-07-22,Junior Executive,2021-09-07,2023-10-17,
